Start_Index,Activity_Label,SpecEn,PermEn,SampEn,Petrosian_FD,Higuchi_FD,KMeans_Labels,DBSCAN_Labels
0,0.0,0.42049322549611684,0.520109478995454,0.27230470417274183,1.0036041977073993,1.0897106731425095,2,-1
128,0.0,0.39664445654457103,0.5094458609041542,0.2728446697711874,1.0032338783315098,1.0501340781538961,2,-1
256,0.0,0.3810764953040254,0.519953280288176,0.21547962985538563,1.0034808219392384,1.0440900525958765,2,-1
384,0.0,0.3711176130534224,0.5159454239528599,0.16167090265673484,1.0033573821759203,1.049264928511163,2,0
512,0.0,0.36100341432975697,0.4921562965455477,0.1956465013233951,1.0028629814496335,1.089325356943522,2,0
640,0.0,0.3874493724047868,0.5009712233694043,0.2573024701255287,1.0032338783315098,1.08353689964123,2,-1
768,0.0,0.4168244933751817,0.513064105902021,0.2671409071974464,1.0037275095661569,1.0812838104663216,2,-1
896,0.0,0.42560117794795693,0.516653065404313,0.30562990692363196,1.0038507576010838,1.0763989920571275,2,-1
1024,0.0,0.4250974013775414,0.5098652219972206,0.24553962878702226,1.0039739418975728,1.0675625561755635,2,-1
1152,0.0,0.4246798773448279,0.5021840996565585,0.2468346108714303,1.0038507576010838,1.104721341653046,2,-1
1280,0.0,0.5025839316155692,0.5138722590234122,0.22568453374797506,1.0036041977073993,1.098482245646646,2,-1
1408,0.0,0.51125346751367,0.5117889671720168,0.23549149362849509,1.0037275095661569,1.098817817819319,2,-1
1536,0.0,0.5189382543455421,0.5351511620578038,0.23911392742032736,1.004097062540836,1.1255678329360386,0,-1
1664,0.0,0.5078618246637304,0.5619074955339576,0.20577729167896816,1.0048344544320031,1.1211250728126307,0,-1
1792,0.0,0.5007892547011656,0.5504924637593447,0.19326276130325767,1.0048344544320031,1.099143560056835,0,-1
1920,0.0,0.5048509975431007,0.5493308867861575,0.20532891011069934,1.0047117139286545,1.1035192448095865,0,-1
2048,0.0,0.444788146882207,0.5431032641954219,0.26662466012350056,1.0048344544320031,1.1128229947963142,0,-1
2176,0.0,0.440551020922674,0.51997144589465,0.32120159671054727,1.0043431132076361,1.0969099332995855,2,-1
2304,0.0,0.4179304608431362,0.5102852458769022,0.31675256824726233,1.0039739418975728,1.087845758843444,2,-1
2432,0.0,0.4073531558600792,0.5351553730991802,0.29773772744007193,1.004588910279602,1.0799290407517241,2,-1
2560,0.0,0.40144160568656173,0.5279576796642038,0.2466968792367531,1.0043431132076361,1.0952590070041457,2,-1
